Id,CityName,StateName
1,Fort Hunt,Virginia
2,Bessemer,Alabama
3,Paducah,Kentucky
4,Birmingham,Alabama
5,Center Point,Alabama
6,Daphne,Alabama
7,Decatur,Alabama
8,Dothan,Alabama
9,East Florence,Alabama
10,Enterprise,Alabama
11,Fairhope,Alabama
12,Florence,Alabama
13,Gadsden,Alabama
14,Helena,Alabama
15,Homewood,Alabama
16,Hoover,Alabama
17,Hueytown,Alabama
18,Huntsville,Alabama
19,Madison,Alabama
20,Mobile,Alabama
21,Montgomery,Alabama
22,Mountain Brook,Alabama
23,Northport,Alabama
24,Opelika,Alabama
25,Oxford,Alabama
26,Pelham,Alabama
27,Phenix City,Alabama
28,Prattville,Alabama
29,Prichard,Alabama
30,Selma,Alabama
31,Talladega,Alabama
32,Tillmans Corner,Alabama
33,Troy,Alabama
34,Trussville,Alabama
35,Tuscaloosa,Alabama
36,Vestavia Hills,Alabama
37,Bella Vista,Arkansas
38,Benton,Arkansas
39,Bentonville,Arkansas
40,Blytheville,Arkansas
41,Bryant,Arkansas
42,Cabot,Arkansas
43,Conway,Arkansas
44,El Dorado,Arkansas
45,Fayetteville,Arkansas
46,Forrest City,Arkansas
47,Fort Smith,Arkansas
48,Hot Springs,Arkansas
49,Jacksonville,Arkansas
50,Jonesboro,Arkansas
51,Little Rock,Arkansas
52,Maumelle,Arkansas
53,North Little Rock,Arkansas
54,Paragould,Arkansas
55,Pine Bluff,Arkansas
56,Rogers,Arkansas
57,Russellville,Arkansas
58,Searcy,Arkansas
59,Siloam Springs,Arkansas
60,Springdale,Arkansas
61,Texarkana,Arkansas
62,Van Buren,Arkansas
63,West Memphis,Arkansas
64,Bear,Delaware
65,Dover,Delaware
66,Middletown,Delaware
67,Newark,Delaware
68,Wilmington,Delaware
69,Allapattah,Florida
70,Altamonte Springs,Florida
71,Apopka,Florida
72,Aventura,Florida
73,Bartow,Florida
74,Bayonet Point,Florida
75,Bayshore Gardens,Florida
76,Belle Glade,Florida
77,Bellview,Florida
78,Bloomingdale,Florida
79,Boca Del Mar,Florida
80,Boca Raton,Florida
81,Bonita Springs,Florida
82,Boynton Beach,Florida
83,Bradenton,Florida
84,Brandon,Florida
85,Brent,Florida
86,Brownsville,Florida
87,Buenaventura Lakes,Florida
88,Cantonment,Florida
89,Cape Coral,Florida
90,Carol City,Florida
91,Carrollwood,Florida
92,Carrollwood Village,Florida
93,Casselberry,Florida
94,Citrus Park,Florida
95,Clearwater,Florida
96,Clermont,Florida
97,Cocoa,Florida
98,Coconut Creek,Florida
99,Coconut Grove,Florida
100,Cooper City,Florida
101,Coral Gables,Florida
102,Coral Springs,Florida
103,Coral Terrace,Florida
104,Country Walk,Florida
105,Country Club,Florida
106,Crestview,Florida
107,Cutler,Florida
108,Cutler Ridge,Florida
109,Dania Beach,Florida
110,Davie,Florida
111,Daytona Beach,Florida
112,DeLand,Florida
113,DeBary,Florida
114,Deerfield Beach,Florida
115,Delray Beach,Florida
116,Deltona,Florida
117,Doral,Florida
118,Dunedin,Florida
119,East Lake,Florida
120,East Pensacola Heights,Florida
121,Edgewater,Florida
122,Egypt Lake-Leto,Florida
123,Ensley,Florida
124,Estero,Florida
125,Eustis,Florida
126,Ferry Pass,Florida
127,Flagami,Florida
128,Florida Ridge,Florida
129,Fort Lauderdale,Florida
130,Fort Myers,Florida
131,Fort Pierce,Florida
132,Fort Walton Beach,Florida
133,Fountainebleau,Florida
134,Fruit Cove,Florida
135,Gainesville,Florida
136,Glenvar Heights,Florida
137,Golden Gate,Florida
138,Golden Glades,Florida
139,Greenacres City,Florida
140,Haines City,Florida
141,Hallandale Beach,Florida
142,Hialeah,Florida
143,Hialeah Gardens,Florida
144,Holiday,Florida
145,Hollywood,Florida
146,Homestead,Florida
147,Immokalee,Florida
148,Iona,Florida
149,Ives Estates,Florida
150,Jacksonville,Florida
151,Jacksonville Beach,Florida
152,Jasmine Estates,Florida
153,Jupiter,Florida
154,Kendale Lakes,Florida
155,Kendall,Florida
156,Key West,Florida
157,Keystone,Florida
158,Kissimmee,Florida
159,Lake Butler,Florida
160,Lake Magdalene,Florida
161,Lake Worth,Florida
162,Lake Worth Corridor,Florida
163,Lakeland,Florida
164,Lakeside,Florida
165,Land O' Lakes,Florida
166,Largo,Florida
167,Lauderdale Lakes,Florida
168,Lauderhill,Florida
169,Lealman,Florida
170,Leesburg,Florida
171,Lehigh Acres,Florida
172,Leisure City,Florida
173,Lutz,Florida
174,Lynn Haven,Florida
175,Maitland,Florida
176,Margate,Florida
177,Meadow Woods,Florida
178,Melbourne,Florida
179,Merritt Island,Florida
180,Miami,Florida
181,Miami Beach,Florida
182,Miami Gardens,Florida
183,Miami Lakes,Florida
184,Miramar,Florida
185,Myrtle Grove,Florida
186,Naples,Florida
187,Navarre,Florida
188,New Smyrna Beach,Florida
189,Norland,Florida
190,North Fort Myers,Florida
191,North Lauderdale,Florida
192,North Miami,Florida
193,North Miami Beach,Florida
194,North Port,Florida
195,Oak Ridge,Florida
196,Oakland Park,Florida
197,Ocala,Florida
198,Ocoee,Florida
199,Ojus,Florida
200,Opa-locka,Florida
201,Orlando,Florida
202,Ormond Beach,Florida
203,Oviedo,Florida
204,Pace,Florida
205,Palm Bay,Florida
206,Palm Beach Gardens,Florida
207,Palm City,Florida
208,Palm Coast,Florida
209,Palm Harbor,Florida
210,Palm Springs,Florida
211,Palm Valley,Florida
212,Palmetto Bay,Florida
213,Panama City,Florida
214,Parkland,Florida
215,Pembroke Pines,Florida
216,Pensacola,Florida
217,Pine Hills,Florida
218,Pinecrest,Florida
219,Pinellas Park,Florida
220,Pinewood,Florida
221,Plant City,Florida
222,Plantation,Florida
223,Poinciana,Florida
224,Pompano Beach,Florida
225,Ponte Vedra Beach,Florida
226,Port Charlotte,Florida
227,Port Orange,Florida
228,Port Saint Lucie,Florida
229,Princeton,Florida
230,Punta Gorda,Florida
231,Punta Gorda Isles,Florida
232,Richmond West,Florida
233,Riverview,Florida
234,Riviera Beach,Florida
235,Rockledge,Florida
236,Royal Palm Beach,Florida
237,Ruskin,Florida
238,Safety Harbor,Florida
239,Saint Cloud,Florida
240,Saint Petersburg,Florida
241,San Carlos Park,Florida
242,Sanford,Florida
243,Sarasota,Florida
244,Sebastian,Florida
245,Seminole,Florida
246,South Bradenton,Florida
247,South Miami Heights,Florida
248,Southchase,Florida
249,Spring Hill,Florida
250,Stuart,Florida
251,Sun City Center,Florida
252,Sunny Isles Beach,Florida
253,Sunrise,Florida
254,Sunset,Florida
255,Tallahassee,Florida
256,Tamarac,Florida
257,Tamiami,Florida
258,Tampa,Florida
259,Tarpon Springs,Florida
260,Temple Terrace,Florida
261,The Crossings,Florida
262,The Hammocks,Florida
263,The Villages,Florida
264,Three Lakes,Florida
265,Titusville,Florida
266,Town 'n' Country,Florida
267,University Park,Florida
268,Valrico,Florida
269,Venice,Florida
270,Vero Beach,Florida
271,Wekiwa Springs,Florida
272,Wellington,Florida
273,Wesley Chapel,Florida
274,Westchase,Florida
275,West Little River,Florida
276,West Melbourne,Florida
277,West Palm Beach,Florida
278,West Pensacola,Florida
279,West and East Lealman,Florida
280,Westchester,Florida
281,Weston,Florida
282,Winter Garden,Florida
283,Winter Haven,Florida
284,Winter Park,Florida
285,Winter Springs,Florida
286,Wright,Florida
287,Acworth,Georgia
288,Albany,Georgia
289,Alpharetta,Georgia
290,Americus,Georgia
291,Athens,Georgia
292,Atlanta,Georgia
293,Augusta,Georgia
294,Belvedere Park,Georgia
295,Brookhaven,Georgia
296,Brunswick,Georgia
297,Calhoun,Georgia
298,Canton,Georgia
299,Carrollton,Georgia
300,Cartersville,Georgia
301,Columbus,Georgia
302,Conyers,Georgia
303,Dalton,Georgia
304,Decatur,Georgia
305,Douglasville,Georgia
306,Dublin,Georgia
307,Duluth,Georgia
308,Dunwoody,Georgia
309,East Point,Georgia
310,Evans,Georgia
311,Fayetteville,Georgia
312,Forest Park,Georgia
313,Gainesville,Georgia
314,Griffin,Georgia
315,Hinesville,Georgia
316,Kennesaw,Georgia
317,Kingsland,Georgia
318,La Grange,Georgia
319,Lawrenceville,Georgia
320,Lithia Springs,Georgia
321,Mableton,Georgia
322,Macon,Georgia
323,Marietta,Georgia
324,Martinez,Georgia
325,McDonough,Georgia
326,Milledgeville,Georgia
327,Newnan,Georgia
328,North Decatur,Georgia
329,North Druid Hills,Georgia
330,Peachtree City,Georgia
331,Pooler,Georgia
332,Redan,Georgia
333,Riverdale,Georgia
334,Rome,Georgia
335,Roswell,Georgia
336,St. Marys,Georgia
337,Sandy Springs,Georgia
338,Savannah,Georgia
339,Smyrna,Georgia
340,Snellville,Georgia
341,Statesboro,Georgia
342,Stockbridge,Georgia
343,Sugar Hill,Georgia
344,Suwanee,Georgia
345,Thomasville,Georgia
346,Tifton,Georgia
347,Tucker,Georgia
348,Union City,Georgia
349,Valdosta,Georgia
350,Warner Robins,Georgia
351,Wilmington Island,Georgia
352,Woodstock,Georgia
353,Alton,Illinois
354,Belleville,Illinois
355,Cahokia,Illinois
356,Carbondale,Illinois
357,Charleston,Illinois
358,Collinsville,Illinois
359,Decatur,Illinois
360,East Saint Louis,Illinois
361,Edwardsville,Illinois
362,Fairview Heights,Illinois
363,Godfrey,Illinois
364,Granite City,Illinois
365,Jacksonville,Illinois
366,Marion,Illinois
367,Mattoon,Illinois
368,Mount Vernon,Illinois
369,O'Fallon,Illinois
370,Quincy,Illinois
371,Springfield,Illinois
372,Upper Alton,Illinois
373,Bloomington,Indiana
374,Broad Ripple,Indiana
375,Brownsburg,Indiana
376,Carmel,Indiana
377,Clarksville,Indiana
378,Columbus,Indiana
379,Evansville,Indiana
380,Fishers,Indiana
381,Greenfield,Indiana
382,Greenwood,Indiana
383,Indianapolis,Indiana
384,Jasper,Indiana
385,Jeffersonville,Indiana
386,Lawrence,Indiana
387,New Albany,Indiana
388,New Castle,Indiana
389,Plainfield,Indiana
390,Richmond,Indiana
