Id,Code,Name,Address,City,State,Zip,Phone,Email
0,eaqqh-990-57719,Jasmine's Test AAnnalle Repair and Maintenance,471 Rice Trail,Florence,Alabama,36877,314-154-8358,Dana.Jasmine@repairandmaintenance.biz
1,ynvn-9089-7781,Sydney's Wife Travel and Photography,1326 Nottinghamshire Station,,New Mexico,87064,480-672-9464,photography@Sydneywife.net
2,900-tizel-832,Hanna's Estate Receive and Cosmetology School,1201 Pratt Terrace,Chandler,Arizona,85639,203-153-8579,cosmetologyschool@Hannaestate.net
3,mew-6656-85497,David's Replacement Dedicate and Record Business,1024 Colburn Ave,Willimantic,Connecticut,6350,802-767-9032,
4,yrgtm-1586-7835,Shirley's MMax M Dedicate and Car Rental,1681 Sandusky Lane,South Burlington,Vermont,5874,401-689-9295,Mark.Shirley@carrental.biz
5,cdhm-683-6823,Brandybuck's Gasp AAshen  Nail Salon,1189 Rigby Trail,Coventry,Rhode Island,2896,,nailsalon@Brandybuck.com
6,tqo-9129-27285,Henry's TTwilight L Hurry and Alcohol and Tobacco Sales,987 Southern Ave,Green Haven,Maryland,21161,458-174-4274,alcoholandtobaccosales@Henry19.org
7,785-xbb-7954,Thingol's Outcome Test and Crop Production,1217 Larzelere Trail,Creve Coeur,Missouri,64137,,Mackenzie.Thingol@outcomecropproduction.com
8,moxd-848-4247,Sylvia's EEldia M Copy and Home Inspection,893 Towers St,West Des Moines,Iowa,50851,907-400-8249,homeinspection@Sylvia.net
9,43680-ctw-9429,Elentari's AAyda V Dedicate and Physical Therapy,1668 Lawson Blvd,Fairbanks,Alaska,99644,231-604-0788,physicaltherapy@Elentari.com
10,986-mdjz-296,Karen's Uncle Step and Specialty Fruit,778 Wayne Street,Las Vegas,Nevada,89147,,Ethan.Karen@unclespecialtyfruit.co.uk
11,ouy-268-9484,Peter's Secretary Target and Auto Dealership,850 Moorewood Station,Dracut,Massachusetts,1370,423-419-4236,autodealership@Petersecretary.net
12,48357-ldcsp-280,Kayla's MMorrin C Prevent and Tutoring Services,850 Newman Blvd,Brentwood,Tennessee,37134,,Douglas.Kayla@tutoringservices.com
13,7635-qdtcw-4328,Nienna's Fund Flight Barber Shop,1303 Hedgewood Blvd,Rapid City,South Dakota,57622,406-092-4665,Nadine.Nienna@flightbarbershop.us
14,cikqx-9355-4952,Christina's WWill Strengthen and Chiropractic Office,1644 Kopchak Drive,Eastchester,New York,14432,252-491-9158,Philip.Christina@chiropracticoffice.us
15,9666-vth-3487,Yavanna's Wood Agree and Cash Advances,1590 Redondo Court,Lynn,Massachusetts,1830,385-257-6058,Alexis.Yavanna@woodcashadvances.co.uk
16,266-ieiwj-7397,Sara's Replacement Store and Veterinary Medicine,622 Crow Drv,Tooele,Utah,84338,,veterinarymedicine@Sarareplacement.net
17,7016-spqzm-7563,Mary's Dedicate YYao Creig NPO,1229 Meridian Ridge,Valley Station,Kentucky,40068,701-396-9063,npo@Mary.co.uk
